latitude,longitude,count
-41.3375,174.7506,4
-41.3203,148.2389,1
-41.3195,-72.9854,26
-41.3167,174.75,4
-41.3155,174.8166,18
-41.3154,174.8854,1
-41.3097,173.2432,8
-41.3084,173.7316,1
-41.3053,174.779,284
-41.3021,146.969,2
-41.3,174.7833,1
-41.2983,146.4915,1
-41.2942,174.7831,321
-41.2933,174.0192,5
-41.2913,174.007,2
-41.2881,173.3357,7
-41.2869,174.7405,15
-41.2839,174.6811,1
-41.2838,174.7763,1
-41.2833,173.2772,82
-41.2829,174.7842,77
-41.2825,174.775,1
-41.2634,174.9483,12
-41.2586,-73.0034,2
-41.2525,146.2119,2
-41.2466,174.7942,7
-41.2464,146.4246,12
-41.2442,146.9842,1
-41.2418,147.7376,1
-41.2375,173.0318,1
-41.236,146.5481,1
-41.2352,146.3511,3
-41.2338,174.8757,1
-41.2333,174.7833,1
-41.2205,175.4593,4
-41.2191,175.4583,1
-41.2159,145.9974,2
-41.2148,174.922,150
-41.2032,146.2728,1
-41.2023,146.8172,4
-41.2006,145.8059,1
-41.2,173.05,1
-41.1971,174.9198,13
-41.1951,174.7805,14
-41.1943,174.9522,8
-41.1938,146.1569,1
-41.1867,175.432,1
-41.1769,146.3515,57
-41.175,146.3188,2
-41.175,174.8503,2
-41.1703,174.9949,6
-41.1665,146.5528,1
-41.1606,146.2319,4
-41.1603,146.1824,14
-41.1578,147.5173,3
-41.1576,146.2589,1
-41.1556,145.8351,1
-41.15,-71.3,60
-41.1392,174.0599,1
-41.1383,175.0502,30
-41.1349,174.8403,56
-41.1303,174.8787,25
-41.1226,146.0732,7
-41.1205,-73.0586,7
-41.1195,175.0935,19
-41.1187,173.0119,9
-41.117,175.3248,1
-41.1169,175.2937,1
-41.1056,146.8261,4
-41.1,174.8333,1
-41.089,-71.2536,1
-41.0848,146.7504,2
-41.0833,174.8667,1
-41.0824,175.4599,7
-41.0806,145.9859,2
-41.08,146.8075,1
-41.076,145.9204,1
-41.0745,145.9472,1
-41.0722,175.8675,1
-41.0667,-68.4167,1
-41.0629,174.8705,3
-41.0558,145.9037,30
-41.0406,145.8305,3
-41.0281,175.5229,4
-41.0251,175.5276,2
-41.0,174.0,1472
-40.9897,145.7262,5
-40.9769,174.9682,3
-40.9663,175.5024,1
-40.9597,175.6575,4
-40.9516,175.6535,38
-40.9497,175.6614,1
-40.9197,145.5597,1
-40.9167,-73.1667,6
-40.9165,175.0055,30
-40.8948,174.9695,20
-40.8733,175.0507,19
-40.8562,172.8102,2
-40.8459,145.125,1
-40.8029,-65.0813,2
-40.8,-63.0,20
-40.8,-62.9833,3
-40.7833,-73.2333,1
-40.7833,-71.6667,9
-40.7606,145.2955,1
-40.7583,175.15,2
-40.7402,175.1404,5
-40.7333,-64.9333,4
-40.6454,175.7031,2
-40.6222,175.2866,8
-40.621,175.3004,4
-40.5963,175.2511,36
-40.5667,-73.15,73
-40.5425,175.4181,2
-40.5302,176.0492,1
-40.4667,175.3,5
-40.464,175.2318,1
-40.4549,175.8395,3
-40.4054,175.5855,1
-40.3928,175.2974,1
-40.3691,175.6288,46
-40.3658,175.5885,8
-40.3632,175.6337,1
-40.3626,175.7135,1
-40.3555,175.6123,158
-40.3454,175.5952,1
-40.3378,175.8689,2
-40.3337,175.8663,1
-40.3326,175.63,18
-40.3205,175.834,1
-40.3167,-72.9667,8
-40.2927,175.7565,2
-40.2833,-73.0833,7
-40.2188,175.4228,1
-40.2171,175.5663,25
-40.213,175.6339,1
-40.209,176.1022,10
-40.1775,175.3863,2
-40.174,175.3864,1
-40.1667,-71.35,6
-40.1509,176.6552,1
-40.1382,175.8664,1
-40.1333,-72.4,1
-40.124,176.2232,1
-40.1,-64.4333,1
-40.0927,175.7361,1
-40.0865,175.5853,1
-40.0724,175.3798,7
-40.0668,175.3787,2
-40.0667,-72.8833,2
-40.05,-70.0833,1
-40.0431,176.4391,1
-40.015,-72.5153,2
-39.9973,176.5591,8
-39.9519,176.4761,1
-39.9401,175.0133,6
-39.9344,175.0532,32
-39.9337,175.5688,3
-39.9336,175.8575,1
-39.9333,-71.0833,4
-39.9295,175.0466,1
-39.9289,176.5855,1
-39.9208,144.1194,1
-39.9146,175.0547,17
-39.8817,176.7075,1
-39.8729,176.8721,1
-39.85,-72.8333,4
-39.85,143.9,1
-39.8275,176.332,1
-39.8,-73.2333,88
-39.7714,176.9602,1
-39.7667,-62.6167,1
-39.7637,174.6343,2
-39.7583,174.4833,3
-39.7189,175.7107,1
-39.6828,175.7899,6
-39.6806,176.8867,10
-39.6694,176.8783,2
-39.6588,176.9405,1
-39.6462,176.8502,7
-39.6408,176.8425,6
-39.6333,-72.3333,7
-39.6279,176.8137,83
-39.6251,175.1175,1
-39.6232,176.7618,1
-39.613,176.9451,1
-39.59,174.2837,3
-39.5854,174.2825,7
-39.5839,176.9148,1
-39.5534,174.1949,1
-39.55,-70.5833,1
-39.5268,176.8511,27
-39.5139,174.079,1
-39.5065,174.2201,1
-39.498,176.8799,33
-39.4909,176.9182,98
-39.4856,174.2924,1
-39.4833,-62.6833,1
-39.4833,176.9167,1
-39.4759,175.6686,1
-39.4577,174.3421,1
-39.4539,173.8585,1
-39.45,-72.7833,1
-39.429,174.2996,2
-39.4256,174.0879,1
-39.4103,175.4031,3
-39.4,-65.7,1
-39.4,176.8333,1
-39.3861,173.8804,1
-39.3667,-72.6333,10
-39.3377,174.2802,5
-39.3216,174.1399,2
-39.3167,-65.7667,2
-39.2667,-72.2167,19
-39.2667,-71.9667,8
-39.2667,-65.6833,6
-39.2227,173.8775,1
-39.2167,-70.95,3
-39.2077,174.1435,1
-39.207,174.3078,1
-39.1869,176.6716,1
-39.179,174.2446,1
-39.157,174.2029,2
-39.1517,175.2283,1
-39.1167,175.4,1
-39.1151,-66.9271,1
-39.1,-72.6833,3
-39.1,-67.0667,18
-39.0917,174.1506,3
-39.0833,-67.2333,4
-39.0833,-67.15,1
-39.0725,174.0554,38
-39.0572,174.0741,57
-39.052,174.1191,15
-39.05,-67.5333,59
-39.05,-67.3833,2
-39.0333,177.419,1
-39.0284,175.9471,1
-39.028,-67.5737,37
-39.0167,-64.0833,3
-39.0028,175.8069,4
-39.0,175.3833,1
-38.9979,174.3907,1
-38.9976,174.2367,5
-38.9833,-72.65,9
-38.9667,-68.2333,25
-38.9667,-67.8333,10
-38.95,-72.6333,3
-38.95,-68.0667,177
-38.9421,174.4819,1
-38.9333,-69.2333,20
-38.9333,-67.9833,62
-38.9167,-72.0333,1
-38.9167,-69.15,8
-38.9138,175.1103,2
-38.9,-70.0667,12
-38.8844,175.2639,1
-38.8833,-62.0833,19
-38.8765,175.2729,2
-38.8167,-68.0667,9
-38.8167,-62.6833,4
-38.8,-68.1333,8
-38.7833,-62.2667,1
-38.775,-62.2583,1
-38.7742,177.2002,1
-38.7667,-72.6,2
-38.7503,-70.0237,1
-38.7333,-72.95,4
-38.7333,-72.6,201
-38.7333,-70.0167,1
-38.7167,-62.2833,249
-38.7037,176.0589,35
-38.7,-73.1667,2
-38.7,-61.2833,1
-38.6868,176.0718,38
-38.6673,178.0286,25
-38.6641,178.025,21
-38.6527,146.2007,1
-38.65,-72.2333,2
-38.65,-61.3,1
-38.6353,176.4422,2
-38.6333,145.8,1
-38.6266,145.7226,3
-38.6226,176.0015,1
-38.6167,-62.05,11
-38.6059,145.5936,8
-38.6,-72.85,1
-38.6,145.5833,1
-38.6,145.6,3
-38.5667,145.55,1
-38.5648,146.6756,3
-38.55,-58.75,40
-38.55,145.4833,1
-38.55,145.5667,1
-38.5428,145.3441,1
-38.5404,143.9764,3
-38.5333,-58.7,3
-38.5333,145.5833,1
-38.5204,145.37,1
-38.5167,-72.45,12
-38.5167,-70.3667,2
-38.5167,146.1667,1
-38.5,-72.0,1
-38.4843,142.9803,1
-38.4833,145.45,1
-38.4761,145.9469,7
-38.4667,176.7,1
-38.464,144.1039,2
-38.4571,176.709,1
-38.4523,145.2386,12
-38.45,142.7333,1
-38.436,176.3411,4
-38.4333,-71.8833,1
-38.4319,145.8235,5
-38.4262,175.9947,1
-38.4167,146.0667,1
-38.4073,144.1859,4
-38.4,-72.7833,1
-38.4,145.1667,2
-38.3973,144.9724,4
-38.3833,145.0333,1
-38.3833,145.7167,1
-38.3818,142.488,52
-38.3794,146.2753,2
-38.3704,175.774,1
-38.3691,145.7081,1
-38.3667,144.8167,11
-38.3667,145.1333,2
-38.3644,144.8775,1
-38.3613,144.7795,1
-38.3554,144.9068,20
-38.35,-68.7833,8
-38.35,143.5833,1
-38.35,145.0167,2
-38.35,145.2,4
-38.3497,144.9281,5
-38.3462,141.6026,10
-38.3428,145.7638,1
-38.3396,144.7413,3
-38.339,143.5849,10
-38.3368,143.7847,1
-38.3353,175.1654,5
-38.3338,144.9646,14
-38.3336,145.6725,1
-38.3333,-59.6167,5
-38.3333,142.5167,1
-38.3333,144.2667,1
-38.3333,145.1667,2
-38.3308,144.3264,30
-38.3286,143.0748,3
-38.3225,146.3292,2
-38.3167,146.5333,1
-38.3156,142.0651,1
-38.3116,141.4774,1
-38.3078,146.4137,11
-38.3,142.3333,1
-38.3,142.8333,2
-38.3,145.1833,12
-38.3,145.8333,1
-38.2833,141.6167,1
-38.2817,144.6105,5
-38.2809,178.1521,1
-38.2679,144.6619,3
-38.2667,-57.85,19
-38.2667,142.3167,1
-38.2667,145.0167,31
-38.266,145.5621,1
-38.2653,144.5147,31
-38.2551,-60.3718,3
-38.25,-72.6833,10
-38.25,145.1833,9
-38.2448,143.9832,3
-38.2409,144.3375,13
-38.2348,146.395,19
-38.2339,143.1498,1
-38.2333,142.45,3
-38.2333,145.9667,1
-38.2312,144.3737,3
-38.2229,175.8685,10
-38.2179,145.0388,47
-38.2167,-72.3333,7
-38.2167,143.0167,1
-38.2167,144.2833,5
-38.2167,145.1167,5
-38.2167,145.1667,19
-38.2147,145.3833,5
-38.2091,146.1535,2
-38.2052,146.0608,1
-38.203,145.2349,3
-38.2,-61.7833,1
-38.2,-60.2833,38
-38.2,144.35,18
-38.2,144.3667,6
-38.2,144.4833,3
-38.2,145.15,6
-38.1994,145.4908,3
-38.1953,146.5415,85
-38.1938,143.6413,1
-38.19,144.4682,27
-38.1864,175.2115,4
-38.1833,-73.0,1
-38.1833,142.9667,1
-38.1833,144.4333,4
-38.1833,144.4833,3
-38.1833,145.0833,26
-38.1833,145.9667,1
-38.1833,146.1833,1
-38.1807,175.223,4
-38.1783,146.261,33
-38.1748,144.3428,19
-38.1724,144.5699,12
-38.1721,-63.2345,1
-38.1706,144.3114,1
-38.1705,144.718,1
-38.1667,145.1667,38
-38.1667,145.3,2
-38.1667,146.6833,1
-38.1605,146.3645,3
-38.1591,145.9312,45
-38.1567,144.5551,7
-38.1557,144.372,11
-38.1545,146.7886,5
-38.1539,144.3351,2
-38.15,-61.8,1
-38.15,-58.7833,2
-38.15,142.9833,1
-38.15,145.4167,1
-38.15,145.6,1
-38.1489,146.4804,1
-38.1483,176.2067,7
-38.1471,144.3607,60
-38.1446,-64.6533,1
-38.1446,145.1229,108
-38.14,176.2516,59
-38.1389,144.3484,10
-38.1377,176.2507,4
-38.1366,145.8584,9
-38.135,145.2396,2
-38.1333,144.3167,2
-38.1333,145.3333,5
-38.1333,145.4333,1
-38.1333,145.6667,1
-38.1269,177.1553,2
-38.1235,145.1484,2
-38.1178,176.2514,20
-38.1167,-57.85,1
-38.1167,145.3333,17
-38.1167,146.5667,4
-38.1167,147.0333,1
-38.1154,144.6556,4
-38.1134,145.2833,149
-38.1128,145.7685,2
-38.111,147.068,21
-38.1018,144.0513,1
-38.1014,144.3542,1
-38.1,144.2833,1
-38.1,144.3667,18
-38.1,145.1333,16
-38.0997,145.1725,45
-38.0979,145.7161,4
-38.0965,145.2671,1
-38.0944,-62.1278,3
-38.0905,176.6964,4
-38.0899,145.675,7
-38.0834,145.6246,1
-38.0833,144.3833,13
-38.0833,145.1333,4
-38.0833,146.0,1
-38.0833,146.2,1
-38.0825,145.5701,2
-38.081,142.8083,1
-38.0702,145.4741,100
-38.0693,145.1433,8
-38.0667,-70.6167,2
-38.0667,-63.4333,1
-38.0667,144.3333,1
-38.0653,145.1228,9
-38.0592,145.4095,18
-38.0505,175.7793,9
-38.05,145.1167,10
-38.05,145.25,20
-38.05,145.3667,25
-38.0489,144.1688,9
-38.0372,145.1097,7
-38.0333,144.05,2
-38.0333,145.1333,2
-38.0333,145.25,24
-38.0333,145.3,101
-38.0333,145.35,90
-38.0333,146.8833,1
-38.0291,145.1027,6
-38.0263,145.3069,2
-38.0239,144.4062,21
-38.0195,175.3305,12
-38.0168,145.9545,3
-38.0167,-73.0833,1
-38.0167,145.2667,26
-38.0167,145.5167,1
-38.0167,145.5667,1
-38.0138,177.2788,8
-38.0104,175.3237,9
-38.0037,140.7092,1
-38.0036,175.1763,2
-38.0,-57.55,310
-38.0,145.0833,14
-38.0,145.35,1
-37.9995,145.1163,9
-37.9942,145.0734,7
-37.9941,145.4142,2
-37.9935,145.2389,5
-37.9912,145.1739,48
-37.9879,175.7524,2
-37.9833,-57.7833,6
-37.9833,145.0667,33
-37.9833,145.2,112
-37.9833,145.3167,15
-37.9827,145.1342,8
-37.9822,145.0389,30
-37.9813,146.7856,2
-37.977,145.2587,20
-37.9728,144.5643,1
-37.9713,146.9837,4
-37.9694,145.0481,42
-37.9667,-72.8333,1
-37.9667,-61.3667,6
-37.9667,-60.4167,8
-37.9667,144.5,1
-37.9667,145.1167,1
-37.9667,145.15,4
-37.9667,145.1667,74
-37.9667,145.95,1
-37.9657,144.1357,3
-37.9615,175.4494,1
-37.956,145.0984,11
-37.9555,176.9225,7
-37.9532,145.5554,1
-37.9524,176.9959,19
-37.95,-72.4333,4
-37.95,145.0,13
-37.95,145.05,30
-37.9485,145.1527,54
-37.9475,144.7167,3
-37.9372,145.0046,39
-37.9368,145.4938,3
-37.9367,145.0342,20
-37.9333,145.1167,61
-37.9333,145.2333,81
-37.9333,145.3,7
-37.9333,145.4667,1
-37.9317,145.4409,4
-37.9193,145.053,78
-37.9189,147.7194,1
-37.9181,145.0354,35
-37.9178,175.3066,2
-37.9173,145.1304,51
-37.9167,145.05,5
-37.9167,145.2,63
-37.9167,145.35,1
-37.9167,145.3833,3
-37.9167,146.8833,1
-37.9148,144.7509,126
-37.9106,145.1348,3
-37.9097,-62.9358,1
-37.9081,175.3486,1
-37.9056,145.0028,53
-37.905,145.1427,11
-37.9039,145.0415,15
-37.9023,145.0173,40
-37.9,-63.7167,1
