latitude,longitude,count
-4.0032,12.4252,7.0
-4.3572,15.5258,40.0
-3.4422,26.8735,5.0
-3.6739,30.8928,101.0
0.38,-0.7721,1.0
0.5365,6.7951,41.0
-0.8051,11.4331,175.0
-0.9816,15.2527,53.0
0.0083,24.9943,94.0
0.0244,31.8517,428.0
4.5485,-7.8903,1.0
2.0384,7.374,7.0
3.2186,10.1895,98.0
3.416,17.7613,16.0
3.2711,24.6462,3.0
2.3667,31.6204,3.0
6.4963,-9.7882,67.0
5.5896,-2.1586,517.0
6.4159,3.7581,1022.0
5.9602,11.5762,216.0
6.5586,19.8629,29.0
5.085,23.4627,8.0
4.8492,31.6003,38.0
10.9,-14.6083,4.0
9.3911,-11.2498,131.0
8.1108,-3.2847,856.0
9.0159,4.2455,330.0
9.9931,8.1194,421.0
9.6298,17.7336,9.0
9.6815,24.1411,5.0
9.2881,34.5547,7.0
-20.0319,47.0053,156.0
-20.7097,56.3723,2818.0
-19.6877,63.4165,4.0
-17.8786,36.8883,2.0
-17.8801,47.9108,62.0
-16.6033,59.6585,2.0
-13.0916,40.4325,33.0
-12.8338,45.3384,88.0
-12.5,96.8333,5.0
-11.2753,42.3393,18.0
-12.1602,44.6012,19.0
-10.4833,56.7,2.0
-12.1541,96.8275,8.0
-10.451,105.6766,6.0
-6.7791,39.2755,407.0
-6.0,71.5,4.0
-6.2618,106.8769,9272.0
-3.7678,37.8767,140.0
-4.5883,55.6499,1184.0
-3.8934,104.7582,275.0
0.3451,37.6732,2554.0
0.1714,73.2912,4.0
0.2819,100.3934,154.0
0.3365,103.9829,215.0
2.6678,42.2,6.0
2.2401,45.1111,9.0
3.9474,73.4062,143.0
3.5375,98.8457,312.0
2.0643,102.9566,14062.0
7.05,38.4667,4.0
6.4267,46.3861,3.0
5.9476,73.1667,7.0
6.9504,80.2213,1058.0
6.0669,100.1017,1234.0
5.6627,101.9281,334.0
8.2092,38.3049,250.0
9.9182,48.6074,39.0
10.1602,76.8443,2909.0
10.3872,79.7992,64.0
8.7154,99.1643,173.0
10.7342,106.5475,1139.0
-21.9306,114.1209,1.0
-20.5539,117.6423,31.0
-19.6548,134.1871,2.0
-20.7157,140.2285,15.0
-19.9354,147.5702,585.0
-20.8153,164.5899,9.0
-22.0508,166.2796,384.0
-17.9554,122.2392,10.0
-16.9855,127.1528,2.0
-17.6102,140.999,3.0
-16.9807,145.7494,310.0
-16.4971,167.3872,35.0
-17.9757,176.3034,126.0
-12.4863,130.9382,247.0
-12.6235,141.8788,3.0
-15.2666,167.7139,6.0
-12.5,177.05,1.0
-9.6567,120.2641,2.0
-9.8513,124.0546,23.0
-10.3397,141.0983,10.0
-9.4761,147.3135,103.0
-9.6615,160.1513,13.0
-10.7167,165.8333,1.0
-9.3706,179.8079,1.0
-7.4574,111.9318,3050.0
-8.4962,115.8446,56.0
-8.5758,125.6267,57.0
